Source:,C:/Users/Paul/BBB_DCC-Workspace/Hardware/DCC_Booster/DCC_V2.sch,,,
Date:,30/09/2017 15:53:26,,,
Tool:,Eeschema 4.0.7,,,
Generator:,C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py,,,
Component Count:,92,,,
Ref,Qnty,Value,Cmp name,Footprint
"C2, ",1,10µF 6.3V,CP,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm
"C3, C14, ",2,10nF,C,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
"C4, C15, ",2,220nF,C,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
"C6, C7, C17, C18, ",4,15nF,C,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
"C10, C1, C5, C8, C9, C11, C21, C16, C19, C20, C22, C25, ",12,100nF,C,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
"C12, ",1,100nF,C,Capacitors_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2
"C13, ",1,10µF,CP,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm
"C23, C24, ",2,22pF,C,Capacitors_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm
"D1, D5, D3, D6, ",4,LED,LED,LEDs:LED_D3.0mm
"D2, D4, ",2,1N4614,D_Zener,Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal
"IC1, IC2, ",2,L6203,L6203,TO_SOT_Packages_THT:Multiwatt-11_Vertical_StaggeredType1
"IC3, IC4, ",2,P82B715PN,P82B715PN,Housings_DIP:DIP-8_W7.62mm_LongPads
"J1, ",1,Conn_01x06_Female,Conn_01x06_Female,Socket_Strips:Socket_Strip_Straight_1x06_Pitch2.54mm
"J2, ",1,Screw_Terminal_01x05,Screw_Terminal_01x05,Connectors_Terminal_Blocks:TerminalBlock_Philmore_TB13x_05x5mm_Straight
"J3, J4, ",2,Screw_Terminal_01x02,Screw_Terminal_01x02,Connectors_Terminal_Blocks:TerminalBlock_Philmore_TB132_02x5mm_Straight
"J5, ",1,Conn_02x05_Odd_Even,Conn_02x05_Odd_Even,Pin_Headers:Pin_Header_Angled_2x05_Pitch2.54mm
"J6, J7, J8, J9, ",4,54601-906WPLF,54601-906WPLF,54601-906WPLF:54601-906WPLF
"JP1, JP2, ",2,Jumper,Jumper,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm
"P1, ",1,BBB_P9,Conn_02x23_Odd_Even,Socket_Strips:Socket_Strip_Straight_2x23_Pitch2.54mm
"P2, ",1,BBB_P8,Conn_02x23_Odd_Even,Socket_Strips:Socket_Strip_Straight_2x23_Pitch2.54mm
"R1, R5, R6, R13, R17, R18, ",6,4k7,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R3, R2, R15, R14, ",4,33k,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R4, R30, R16, R31, ",4,330,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R7, ",1,12k,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R9, R8, R21, R20, R29, ",5,10k,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R11, R10, R23, R22, ",4,0.5 2W,R,Resistors_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal
"R12, R24, ",2,100 2W,R,Resistors_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal
"R19, ",1,78k,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"R26, R28, R25, R27, ",4,270,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
"SW1, ",1,SW_DPST,SW_DPST,Buttons_Switches_THT:SW_PUSH_6mm
"SW2, ",1,Power,SW_DPST,Buttons_Switches_THT:SW_PUSH_6mm
"SW3, ",1,Reset,SW_DPST,Buttons_Switches_THT:SW_PUSH_6mm
"U1, U6, ",2,74HC123,74LS123,Housings_DIP:DIP-16_W7.62mm_LongPads
"U2, U7, ",2,LM339,LM339,Housings_DIP:DIP-14_W7.62mm_LongPads
"U3, ",1,74HC04,74HC04,Housings_DIP:DIP-14_W7.62mm_LongPads
"U4, ",1,74HC21,74LS21,Housings_DIP:DIP-14_W7.62mm_LongPads
"U5, ",1,74HC08,74LS08,Housings_DIP:DIP-14_W7.62mm_LongPads
"U8, ",1,ATMEGA1284-PU,ATMEGA1284-PU,Housings_DIP:DIP-40_W15.24mm_LongPads
"U9, ",1,MAX485E,MAX485E,Housings_DIP:DIP-8_W7.62mm_LongPads
"Y1, ",1,16MHz,Crystal,Crystals:Crystal_HC18-U_Vertical
