"Source:","C:/Users/Paul/BBB_DCC-Workspace/Hardware/DCC_PowerSupply/DCC_PowerSupply.sch"
"Date:","30/09/2017 19:07:35"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","59"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, ","3","4700µF 35V","CP","Capacitors_THT:CP_Radial_D18.0mm_P7.50mm","Polarised capacitor",""
"C4, C13, C22, ","3","1µF Film","C","Capacitors_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C5, C14, ","2","2.2nF","C","Capacitors_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C6, C15, ","2","220nF","C","Capacitors_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C7, C16, ","2","2.2µF 16V","CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm","Polarised capacitor",""
"C8, C9, C17, C18, ","4","2.2µF 6v3","CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm","Polarised capacitor",""
"C10, C11, C12, C19, C20, C21, ","6","220µF 24V","CP","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","Polarised capacitor",""
"C23, C24, ","2","10µF 16V","CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm","Polarised capacitor",""
"C28, C27, C26, C25, ","4","220µF 25V","CP","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","Polarised capacitor",""
"D1, ","1","D_Bridge_-A+A","D_Bridge_-A+A","Diodes_THT:Diode_Bridge_15.7x15.7","Diode bridge (pins: 1=-, 2=AC, 3=+, 4=AC)",""
"D2, D6, ","2","LED","LED","LEDs:LED_D3.0mm","LED generic",""
"D3, D4, ","2","LED blue","LED","LEDs:LED_D3.0mm","LED generic",""
"D5, D7, ","2","1N4004","D","Diodes_THT:D_DO-41_SOD81_P7.62mm_Horizontal","Diode",""
"F1, ","1","6.3A","Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_SemiClosed_Casing10x25mm","Fuse, generic",""
"IC1, IC3, ","2","STPS1545CT","STPS1545CT","TO_SOT_Packages_THT:TO-220_Vertical","STPS1545CT, Dual Schottky Diode,  7.5A max, 45V Common Cathode, Dual, 3-Pin, TO-220AB",""
"IC2, IC4, ","2","L4970A","L4970A","TO_SOT_Packages_THT:Multiwatt-15_Vertical_StaggeredType1","L4970A, Switching Regulator, Buck Controller, 10A, Adjustable, 5.1  40 V, 500 kHz, 15-Pin MULTIWATT V",""
"J1, ","1","Screw_Terminal_01x04","Screw_Terminal_01x04","Connectors_Terminal_Blocks:TerminalBlock_Philmore_TB13x_04x5mm_Straight","Generic screw terminal, single row, 01x04",""
"J2, ","1","Screw_Terminal_01x05","Screw_Terminal_01x05","Connectors_Terminal_Blocks:TerminalBlock_Philmore_TB13x_05x5mm_Straight","Generic screw terminal, single row, 01x05",""
"L1, L2, ","2","FIT80-5","L","Inductors_THT:L_Toroid_Vertical_L28.6mm_W14.3mm_P11.43mm_Bourns_5700","Inductor",""
"R1, ","1","2k7","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, R7, ","2","16kR","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, R8, ","2","24k","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R4, R9, ","2","4k7","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, R10, ","2","7k5","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R6, ","1","1k5","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R11, ","1","330","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R12, ","1","1k","R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"RV1, RV2, ","2","10k","POT","Potentiometers:Potentiometer_Trimmer_Bourns_3339P_Horizontal","Potentiometer",""
"U1, ","1","LM7812_TO220","LM7812_TO220","TO_SOT_Packages_THT:TO-220_Horizontal","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
